epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,373.565,4.54952,3.31934,1.00215,0.00429,0.15385,0.00456,0.00072,4.61419,2.89094,0.96667,0.0013004,0.0013004,0.0013004
108,377.266,4.60983,3.39332,1.04711,0.00671,0.32967,0.00607,0.00176,4.04361,2.97516,0.86564,0.0012938,0.0012938,0.0012938
109,380.781,4.51502,3.34716,1.05617,0.00517,0.36264,0.00678,0.00153,4.04515,2.95558,0.83722,0.0012872,0.0012872,0.0012872
110,384.451,4.58597,3.29297,1.02269,0.00461,0.31868,0.0033,0.00115,4.05868,3.20548,0.75725,0.0012806,0.0012806,0.0012806
111,387.938,4.53182,3.22002,1.00581,0.00694,0.31868,0.005,0.00195,4.00182,3.10979,0.75346,0.001274,0.001274,0.001274
112,391.419,4.54121,3.28162,0.9807,0.01126,0.36264,0.01102,0.00257,4.10667,2.79797,0.75103,0.0012674,0.0012674,0.0012674
113,395.123,4.55391,3.32845,0.99393,0.01054,0.40659,0.01617,0.00415,3.72651,2.77771,0.73516,0.0012608,0.0012608,0.0012608
114,398.752,4.48329,3.42207,1.03106,0.01421,0.37363,0.01694,0.00436,3.90658,2.97933,0.73432,0.0012542,0.0012542,0.0012542
115,402.439,4.56111,3.38395,1.02961,0.00924,0.27473,0.00793,0.00237,4.18224,2.761,0.73734,0.0012476,0.0012476,0.0012476
116,405.968,4.62621,3.44509,1.02818,0.00383,0.15385,0.00292,0.00095,4.15119,2.6783,0.80522,0.001241,0.001241,0.001241
117,409.454,4.47922,3.35897,1.04748,0.00277,0.10989,0.0024,0.00085,4.32099,2.69863,0.83855,0.0012344,0.0012344,0.0012344
118,412.958,4.4947,3.2506,1.01763,0.00663,0.20879,0.00586,0.00157,4.28596,2.54376,0.82825,0.0012278,0.0012278,0.0012278
119,416.505,4.42622,3.41356,1.00818,0.01324,0.34066,0.01408,0.00292,4.10259,2.76347,0.74897,0.0012212,0.0012212,0.0012212
120,420.077,4.59478,3.40637,1.03529,0.00697,0.2967,0.00731,0.00179,4.24202,2.82313,0.82323,0.0012146,0.0012146,0.0012146
121,423.585,4.48787,3.38482,1.06004,0.00725,0.35165,0.00803,0.00222,3.99319,2.86295,0.85756,0.001208,0.001208,0.001208
122,427.119,4.68864,3.32826,1.02867,0.01203,0.38462,0.03412,0.00635,4.14685,2.37273,0.82265,0.0012014,0.0012014,0.0012014
123,430.688,4.49979,3.28681,1.00972,0.01181,0.45055,0.04306,0.01068,3.88884,2.57224,0.75564,0.0011948,0.0011948,0.0011948
124,434.508,4.50379,3.3708,1.01432,0.00945,0.3956,0.04583,0.00796,4.27417,2.53004,0.86892,0.0011882,0.0011882,0.0011882
125,437.967,4.40162,3.20145,1.01412,0.00824,0.13187,0.00504,0.00095,4.72442,3.22086,1.12172,0.0011816,0.0011816,0.0011816
126,441.429,4.55512,3.29121,1.05853,0.00599,0.13187,0.0041,0.00055,4.93489,3.01364,1.22967,0.001175,0.001175,0.001175
127,445.039,4.38801,3.27934,1.01587,0.0067,0.20879,0.00448,0.00055,4.78684,3.07756,1.02823,0.0011684,0.0011684,0.0011684
128,448.593,4.49989,3.33226,1.01129,0.00515,0.15385,0.00336,0.00054,4.68097,3.23304,0.97959,0.0011618,0.0011618,0.0011618
129,452.046,4.36181,3.25123,1.00946,0.00729,0.28571,0.00975,0.00136,4.42398,2.55993,0.85746,0.0011552,0.0011552,0.0011552
130,455.627,4.44986,3.20701,0.98747,0.00771,0.32967,0.01676,0.0033,4.17207,2.43134,0.8171,0.0011486,0.0011486,0.0011486
131,459.207,4.51114,3.23771,1.04365,0.00628,0.28571,0.01654,0.00332,4.32355,2.63114,0.89555,0.001142,0.001142,0.001142
132,462.786,4.5218,3.17714,1.0366,0.00967,0.37363,0.02373,0.00465,4.17216,2.44061,0.84143,0.0011354,0.0011354,0.0011354
133,466.24,4.46014,3.1233,1.02755,0.02355,0.52747,0.02967,0.00809,3.6476,2.56187,0.72148,0.0011288,0.0011288,0.0011288
134,469.824,4.51314,3.20079,1.02083,0.01396,0.31868,0.02747,0.00393,4.46151,2.20674,0.8536,0.0011222,0.0011222,0.0011222
135,473.477,4.4384,3.12843,1.02742,0.01299,0.36264,0.0199,0.00245,4.38809,2.34533,0.77016,0.0011156,0.0011156,0.0011156
136,477.032,4.43446,3.24182,0.98553,0.01099,0.38462,0.02725,0.00319,4.44071,2.245,0.79462,0.001109,0.001109,0.001109
137,480.546,4.45955,3.16474,0.97663,0.01169,0.38462,0.03858,0.00695,4.13404,2.16027,0.76836,0.0011024,0.0011024,0.0011024
138,484.135,4.36865,3.27995,1.0029,0.0094,0.35165,0.02991,0.0044,4.44884,2.25031,0.84838,0.0010958,0.0010958,0.0010958
139,487.664,4.51112,3.09717,1.00265,0.01131,0.36264,0.02409,0.00443,4.30427,2.36759,0.83069,0.0010892,0.0010892,0.0010892
140,491.276,4.52849,3.11194,0.98414,0.00927,0.27473,0.01045,0.00167,4.45876,2.69497,0.86284,0.0010826,0.0010826,0.0010826
141,494.881,4.34846,3.03205,0.97875,0.00993,0.36264,0.01374,0.00254,4.30931,2.47145,0.87095,0.001076,0.001076,0.001076
142,498.391,4.44711,3.0465,0.96956,0.01186,0.38462,0.02351,0.00432,4.26733,2.42577,0.89156,0.0010694,0.0010694,0.0010694
143,501.983,4.38974,3.01681,0.99828,0.01383,0.31868,0.01912,0.00318,4.32934,2.50871,0.87911,0.0010628,0.0010628,0.0010628
144,505.522,4.41695,3.07071,1.0133,0.0124,0.1978,0.01344,0.00184,4.57965,2.79055,0.89181,0.0010562,0.0010562,0.0010562
145,508.979,4.41376,3.07817,0.96034,0.02434,0.25275,0.01745,0.00243,4.58417,3.18674,0.87962,0.0010496,0.0010496,0.0010496
146,512.665,4.4348,3.11298,0.97585,0.02261,0.42857,0.02854,0.00643,4.00987,2.57478,0.76773,0.001043,0.001043,0.001043
147,516.336,4.26448,3.01791,0.96719,0.01766,0.46154,0.04565,0.00662,4.34424,2.18321,0.77806,0.0010364,0.0010364,0.0010364
148,519.868,4.37809,3.02046,0.967,0.02007,0.41758,0.03608,0.00555,4.38756,2.24379,0.7945,0.0010298,0.0010298,0.0010298
149,523.474,4.32647,2.9764,0.99131,0.02242,0.41758,0.02737,0.00419,4.2678,2.5025,0.80026,0.0010232,0.0010232,0.0010232
150,527.043,4.28588,3.02863,0.95984,0.02286,0.42857,0.02977,0.00554,4.13846,2.42782,0.77526,0.0010166,0.0010166,0.0010166
